ID	INDIVIDUAL_ID	PLATE_ID	WELL_ID	DATE	REGION	REEF	ZONING	Ysite	Xsite	Yind	Xind	SPECIES	LIFE_STAGE	FL	TL
Plec03_B03	T26364	Plec_03	B03	26/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9734	-23.198	P. maculatus	Adult	388	412
Plec05_F08	T01019	Plec_05	F08	22/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9824333	-23.1893	P. maculatus	Adult	389	409
Plec01_G01	T01470	Plec_01	G01	25/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9261833	-23.16835	P. maculatus	Adult	390	410
Plec02_H06	T16002	Plec_02	H06	28/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9721333	-23.19908333	P. maculatus	Adult	390	410
Plec03_A07	T26127	Plec_03	A07	25/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.83455	-23.19125	P. maculatus	Adult	390	415
Plec03_B11	T16002	Plec_03	B11	28/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9721333	-23.19908333	P. maculatus	Adult	390	410
Plec03_D04	T26090	Plec_03	D04	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9734167	-23.19833333	P. maculatus	Adult	390	410
Plec03_E10	T16565	Plec_03	E10	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9739667	-23.19733333	P. maculatus	Adult	390	410
Plec05_B07	T25730	Plec_05	B07	25/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9731333	-23.19728333	P. maculatus	Adult	390	410
Plec05_E08	T26127	Plec_05	E08	25/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.83455	-23.19125	P. maculatus	Adult	390	415
Plec03_B06	T26318	Plec_03	B06	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9736667	-23.19886667	P. maculatus	Adult	393	420
Plec05_E03	T26461	Plec_05	E03	31/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.97095	-23.1905	P. maculatus	Adult	394	419
Plec01_C12	T25378	Plec_01	C12	22/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9233333	-23.16705	P. maculatus	Adult	395	428
Plec01_F02	T00011	Plec_01	F02	19/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9214667	-23.17296667	P. maculatus	Adult	395	410
Plec03_C04	T25274	Plec_03	C04	22/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733	-23.19955	P. maculatus	Adult	395	417
Plec03_D09	T25274	Plec_03	D09	22/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733	-23.19955	P. maculatus	Adult	395	417
Plec03_H07	T25274	Plec_03	H07	22/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733	-23.19955	P. maculatus	Adult	395	417
Plec05_D07	T01818	Plec_05	D07	26/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.969	-23.19201667	P. maculatus	Adult	395	415
Plec05_D09	T25316	Plec_05	D09	21/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9264833	-23.18863333	P. maculatus	Adult	395	417
Plec30_A05	P.Ad-01243	Plec_30	A05	2/06/12	Keppel Islands	Middle Is (Observatory)	MPZ	-23.17	150.92	-23.1712	150.9213	P. maculatus	Adult	397	421
Plec05_A07	T26654	Plec_05	A07	29/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9708	-23.19053333	P. maculatus	Adult	397	430
Plec05_G06	T16404	Plec_05	G06	29/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9863167	-23.19258333	P. maculatus	Adult	397	424
Plec01_B07	T33161	Plec_01	B07	31/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9267667	-23.16898333	P. maculatus	Adult	398	420
